Age,Number of Referrals,Churn,Contract,Dependents,Married,Premium Tech Support,Referred a Friend
37,0,Yes,Month-to-month,No,No,No,No
19,0,Yes,Month-to-month,No,No,No,No
31,0,Yes,Month-to-month,No,No,No,No
23,0,Yes,Month-to-month,No,Yes,Yes,No
38,0,Yes,Month-to-month,No,No,No,No
21,6,Yes,Month-to-month,Yes,Yes,Yes,Yes
78,0,Yes,Month-to-month,No,No,No,No
29,0,Yes,Month-to-month,No,No,No,No
61,1,Yes,Month-to-month,Yes,Yes,No,Yes
27,1,Yes,Month-to-month,Yes,Yes,No,Yes
20,0,Yes,Month-to-month,Yes,No,No,No
56,0,Yes,Month-to-month,No,No,No,No
51,0,Yes,Month-to-month,No,No,No,No
48,0,Yes,Month-to-month,No,No,No,No
32,0,Yes,Month-to-month,No,No,No,No
34,0,Yes,Month-to-month,No,No,No,No
74,1,Yes,Month-to-month,No,Yes,No,Yes
71,0,Yes,Month-to-month,No,No,No,No
41,0,Yes,Month-to-month,No,No,No,No
32,0,Yes,Month-to-month,Yes,No,No,No
34,1,Yes,Month-to-month,No,Yes,No,Yes
34,0,Yes,Month-to-month,No,No,No,No
30,0,Yes,Month-to-month,No,No,No,No
78,1,Yes,Month-to-month,No,Yes,No,Yes
26,4,Yes,Two year,No,Yes,Yes,Yes
37,0,Yes,Month-to-month,No,Yes,No,No
80,1,Yes,Month-to-month,No,Yes,No,Yes
62,1,Yes,Month-to-month,Yes,Yes,No,Yes
21,0,Yes,Month-to-month,No,No,No,No
72,0,Yes,Month-to-month,No,No,No,No
27,6,Yes,Month-to-month,Yes,Yes,No,Yes
64,0,Yes,Month-to-month,No,No,No,No
45,0,Yes,Month-to-month,No,No,No,No
76,1,Yes,Month-to-month,No,Yes,No,Yes
53,0,Yes,Month-to-month,No,No,Yes,No
63,0,Yes,Month-to-month,No,No,No,No
32,0,Yes,Month-to-month,No,No,No,No
26,5,Yes,Month-to-month,No,Yes,No,Yes
42,0,Yes,Month-to-month,No,No,No,No
66,6,Yes,Month-to-month,No,Yes,No,Yes
26,1,Yes,Month-to-month,No,Yes,Yes,Yes
24,5,Yes,One year,No,Yes,No,Yes
70,0,Yes,Month-to-month,No,No,No,No
77,0,Yes,Month-to-month,No,No,No,No
54,0,Yes,Month-to-month,No,No,No,No
51,0,Yes,Month-to-month,No,No,No,No
48,0,Yes,Month-to-month,No,No,No,No
29,4,Yes,Month-to-month,No,Yes,No,Yes
39,5,Yes,Month-to-month,No,Yes,No,Yes
62,0,Yes,Month-to-month,No,No,No,No
43,0,Yes,Month-to-month,No,No,Yes,No
19,0,Yes,Month-to-month,No,No,No,No
39,0,Yes,Month-to-month,No,No,No,No
50,2,Yes,Month-to-month,No,Yes,Yes,Yes
22,0,Yes,Month-to-month,No,Yes,No,No
40,0,Yes,Month-to-month,No,No,No,No
22,0,Yes,Month-to-month,No,No,No,No
78,0,Yes,Month-to-month,No,No,No,No
65,0,Yes,Month-to-month,No,No,No,No
37,0,Yes,Month-to-month,No,No,No,No
47,1,Yes,Month-to-month,Yes,Yes,No,Yes
77,1,Yes,Month-to-month,No,Yes,No,Yes
41,3,Yes,Month-to-month,No,Yes,No,Yes
67,0,Yes,Month-to-month,No,No,No,No
68,0,Yes,Month-to-month,No,No,No,No
51,0,Yes,Two year,No,No,No,No
68,0,Yes,Month-to-month,No,No,Yes,No
60,0,Yes,Month-to-month,No,No,No,No
30,0,Yes,Month-to-month,No,No,No,No
51,1,Yes,Month-to-month,No,Yes,Yes,Yes
20,6,Yes,Month-to-month,No,Yes,No,Yes
52,6,Yes,Month-to-month,Yes,Yes,No,Yes
41,1,Yes,Month-to-month,No,Yes,No,Yes
66,0,Yes,Month-to-month,No,No,No,No
34,0,Yes,Month-to-month,No,No,No,No
69,0,Yes,Month-to-month,No,No,No,No
21,0,Yes,Month-to-month,Yes,No,No,No
74,0,Yes,Month-to-month,No,No,No,No
76,2,Yes,Month-to-month,No,Yes,No,Yes
30,0,Yes,Month-to-month,No,No,No,No
55,1,Yes,One year,Yes,Yes,Yes,Yes
77,1,Yes,Month-to-month,No,Yes,No,Yes
70,0,Yes,One year,No,No,Yes,No
74,0,Yes,Month-to-month,No,No,No,No
29,0,Yes,Month-to-month,No,No,No,No
54,0,Yes,Month-to-month,No,No,No,No
63,1,Yes,One year,Yes,Yes,Yes,Yes
24,0,Yes,Two year,No,No,No,No
61,2,Yes,Month-to-month,No,Yes,No,Yes
47,0,Yes,Month-to-month,No,No,No,No
26,5,Yes,Month-to-month,Yes,Yes,No,Yes
77,0,Yes,Month-to-month,No,No,No,No
40,0,Yes,Month-to-month,No,No,No,No
71,0,Yes,Month-to-month,No,Yes,No,No
54,0,Yes,Month-to-month,No,No,No,No
22,0,Yes,Month-to-month,No,No,No,No
48,1,Yes,Month-to-month,No,Yes,Yes,Yes
26,0,Yes,Month-to-month,No,No,No,No
64,0,Yes,Month-to-month,No,No,No,No
79,1,Yes,Month-to-month,No,Yes,No,Yes
66,2,Yes,Month-to-month,No,Yes,No,Yes
63,0,Yes,Month-to-month,No,No,No,No
30,2,Yes,Month-to-month,Yes,Yes,No,Yes
59,0,Yes,Month-to-month,No,No,No,No
52,0,Yes,Month-to-month,No,No,No,No
77,0,Yes,Month-to-month,No,No,No,No
23,4,Yes,Month-to-month,Yes,Yes,No,Yes
80,0,Yes,Month-to-month,No,No,No,No
22,3,Yes,Month-to-month,Yes,Yes,No,Yes
49,0,Yes,Month-to-month,No,No,No,No
20,0,Yes,Month-to-month,No,No,No,No
54,0,Yes,Month-to-month,No,No,No,No
58,1,Yes,Month-to-month,Yes,Yes,No,Yes
21,3,Yes,Month-to-month,Yes,Yes,No,Yes
61,0,Yes,Month-to-month,No,No,No,No
60,3,Yes,Month-to-month,Yes,Yes,No,Yes
25,0,Yes,Month-to-month,No,No,No,No
52,0,Yes,Month-to-month,Yes,Yes,No,No
52,0,Yes,Month-to-month,No,No,No,No
61,0,Yes,Month-to-month,No,No,Yes,No
40,0,Yes,Month-to-month,Yes,No,No,No
28,3,Yes,Month-to-month,No,Yes,No,Yes
32,1,Yes,Month-to-month,Yes,Yes,No,Yes
32,0,Yes,Month-to-month,Yes,No,No,No
28,1,Yes,Month-to-month,No,Yes,No,Yes
51,0,Yes,One year,No,No,No,No
77,0,Yes,Month-to-month,No,No,No,No
49,0,Yes,Month-to-month,No,No,No,No
77,0,Yes,Month-to-month,No,No,No,No
49,4,Yes,Month-to-month,No,Yes,Yes,Yes
64,1,Yes,Month-to-month,Yes,Yes,Yes,Yes
72,4,Yes,Month-to-month,No,Yes,No,Yes
55,0,Yes,Month-to-month,No,No,Yes,No
80,2,Yes,Month-to-month,No,Yes,No,Yes
47,0,Yes,Month-to-month,No,No,No,No
22,2,Yes,Month-to-month,No,Yes,No,Yes
51,0,Yes,Month-to-month,No,No,No,No
33,0,Yes,Month-to-month,No,No,No,No
52,0,Yes,Month-to-month,No,No,Yes,No
29,5,Yes,Month-to-month,Yes,Yes,No,Yes
31,0,Yes,Month-to-month,No,No,No,No
44,0,Yes,Month-to-month,No,No,No,No
50,2,Yes,One year,No,Yes,No,Yes
48,1,Yes,Month-to-month,Yes,Yes,No,Yes
28,0,Yes,Month-to-month,No,No,No,No
74,0,Yes,Month-to-month,No,No,No,No
68,0,Yes,Month-to-month,No,No,No,No
52,0,Yes,Month-to-month,No,No,Yes,No
78,3,Yes,Month-to-month,No,Yes,No,Yes
32,1,Yes,Month-to-month,Yes,Yes,No,Yes
20,1,Yes,Month-to-month,Yes,Yes,Yes,Yes
27,0,Yes,Month-to-month,No,No,No,No
75,3,Yes,Month-to-month,No,Yes,No,Yes
77,1,Yes,Month-to-month,Yes,Yes,Yes,Yes
20,7,Yes,Month-to-month,Yes,Yes,No,Yes
80,0,Yes,One year,Yes,Yes,No,No
26,1,Yes,Month-to-month,No,Yes,No,Yes
57,3,Yes,Month-to-month,Yes,Yes,No,Yes
38,0,Yes,Month-to-month,No,No,No,No
75,7,Yes,Month-to-month,No,Yes,No,Yes
57,0,Yes,Month-to-month,No,No,No,No
69,0,Yes,Month-to-month,No,No,No,No
30,0,Yes,Month-to-month,No,No,No,No
23,0,Yes,Month-to-month,No,No,No,No
74,0,Yes,Month-to-month,No,No,No,No
40,2,Yes,One year,Yes,Yes,No,Yes
48,0,Yes,Month-to-month,No,No,No,No
52,0,Yes,Month-to-month,No,No,No,No
47,0,Yes,Month-to-month,No,No,No,No
23,0,Yes,Month-to-month,No,No,No,No
76,0,Yes,Month-to-month,No,No,No,No
19,0,Yes,Month-to-month,No,No,No,No
