Age,Churn,Number of Referrals,Contract,Dependents,Married,Premium Tech Support,Referred a Friend
37,Yes,0,Month-to-month,No,No,No,No
19,Yes,0,Month-to-month,No,No,No,No
31,Yes,0,Month-to-month,No,No,No,No
23,Yes,0,Month-to-month,No,Yes,Yes,No
38,Yes,0,Month-to-month,No,No,No,No
21,Yes,6,Month-to-month,Yes,Yes,Yes,Yes
78,Yes,0,Month-to-month,No,No,No,No
29,Yes,0,Month-to-month,No,No,No,No
61,Yes,1,Month-to-month,Yes,Yes,No,Yes
27,Yes,1,Month-to-month,Yes,Yes,No,Yes
20,Yes,0,Month-to-month,Yes,No,No,No
56,Yes,0,Month-to-month,No,No,No,No
51,Yes,0,Month-to-month,No,No,No,No
48,Yes,0,Month-to-month,No,No,No,No
32,Yes,0,Month-to-month,No,No,No,No
34,Yes,0,Month-to-month,No,No,No,No
74,Yes,1,Month-to-month,No,Yes,No,Yes
71,Yes,0,Month-to-month,No,No,No,No
41,Yes,0,Month-to-month,No,No,No,No
32,Yes,0,Month-to-month,Yes,No,No,No
34,Yes,1,Month-to-month,No,Yes,No,Yes
34,Yes,0,Month-to-month,No,No,No,No
30,Yes,0,Month-to-month,No,No,No,No
78,Yes,1,Month-to-month,No,Yes,No,Yes
26,Yes,4,Two year,No,Yes,Yes,Yes
37,Yes,0,Month-to-month,No,Yes,No,No
80,Yes,1,Month-to-month,No,Yes,No,Yes
62,Yes,1,Month-to-month,Yes,Yes,No,Yes
21,Yes,0,Month-to-month,No,No,No,No
72,Yes,0,Month-to-month,No,No,No,No
27,Yes,6,Month-to-month,Yes,Yes,No,Yes
64,Yes,0,Month-to-month,No,No,No,No
45,Yes,0,Month-to-month,No,No,No,No
76,Yes,1,Month-to-month,No,Yes,No,Yes
53,Yes,0,Month-to-month,No,No,Yes,No
63,Yes,0,Month-to-month,No,No,No,No
32,Yes,0,Month-to-month,No,No,No,No
26,Yes,5,Month-to-month,No,Yes,No,Yes
42,Yes,0,Month-to-month,No,No,No,No
66,Yes,6,Month-to-month,No,Yes,No,Yes
26,Yes,1,Month-to-month,No,Yes,Yes,Yes
24,Yes,5,One year,No,Yes,No,Yes
70,Yes,0,Month-to-month,No,No,No,No
77,Yes,0,Month-to-month,No,No,No,No
54,Yes,0,Month-to-month,No,No,No,No
51,Yes,0,Month-to-month,No,No,No,No
48,Yes,0,Month-to-month,No,No,No,No
29,Yes,4,Month-to-month,No,Yes,No,Yes
39,Yes,5,Month-to-month,No,Yes,No,Yes
62,Yes,0,Month-to-month,No,No,No,No
43,Yes,0,Month-to-month,No,No,Yes,No
19,Yes,0,Month-to-month,No,No,No,No
39,Yes,0,Month-to-month,No,No,No,No
50,Yes,2,Month-to-month,No,Yes,Yes,Yes
22,Yes,0,Month-to-month,No,Yes,No,No
40,Yes,0,Month-to-month,No,No,No,No
22,Yes,0,Month-to-month,No,No,No,No
78,Yes,0,Month-to-month,No,No,No,No
65,Yes,0,Month-to-month,No,No,No,No
37,Yes,0,Month-to-month,No,No,No,No
47,Yes,1,Month-to-month,Yes,Yes,No,Yes
77,Yes,1,Month-to-month,No,Yes,No,Yes
41,Yes,3,Month-to-month,No,Yes,No,Yes
67,Yes,0,Month-to-month,No,No,No,No
68,Yes,0,Month-to-month,No,No,No,No
51,Yes,0,Two year,No,No,No,No
68,Yes,0,Month-to-month,No,No,Yes,No
60,Yes,0,Month-to-month,No,No,No,No
30,Yes,0,Month-to-month,No,No,No,No
51,Yes,1,Month-to-month,No,Yes,Yes,Yes
20,Yes,6,Month-to-month,No,Yes,No,Yes
52,Yes,6,Month-to-month,Yes,Yes,No,Yes
41,Yes,1,Month-to-month,No,Yes,No,Yes
66,Yes,0,Month-to-month,No,No,No,No
34,Yes,0,Month-to-month,No,No,No,No
69,Yes,0,Month-to-month,No,No,No,No
21,Yes,0,Month-to-month,Yes,No,No,No
74,Yes,0,Month-to-month,No,No,No,No
76,Yes,2,Month-to-month,No,Yes,No,Yes
30,Yes,0,Month-to-month,No,No,No,No
55,Yes,1,One year,Yes,Yes,Yes,Yes
77,Yes,1,Month-to-month,No,Yes,No,Yes
70,Yes,0,One year,No,No,Yes,No
74,Yes,0,Month-to-month,No,No,No,No
29,Yes,0,Month-to-month,No,No,No,No
54,Yes,0,Month-to-month,No,No,No,No
63,Yes,1,One year,Yes,Yes,Yes,Yes
24,Yes,0,Two year,No,No,No,No
61,Yes,2,Month-to-month,No,Yes,No,Yes
47,Yes,0,Month-to-month,No,No,No,No
26,Yes,5,Month-to-month,Yes,Yes,No,Yes
77,Yes,0,Month-to-month,No,No,No,No
40,Yes,0,Month-to-month,No,No,No,No
71,Yes,0,Month-to-month,No,Yes,No,No
54,Yes,0,Month-to-month,No,No,No,No
22,Yes,0,Month-to-month,No,No,No,No
48,Yes,1,Month-to-month,No,Yes,Yes,Yes
26,Yes,0,Month-to-month,No,No,No,No
64,Yes,0,Month-to-month,No,No,No,No
79,Yes,1,Month-to-month,No,Yes,No,Yes
66,Yes,2,Month-to-month,No,Yes,No,Yes
63,Yes,0,Month-to-month,No,No,No,No
30,Yes,2,Month-to-month,Yes,Yes,No,Yes
59,Yes,0,Month-to-month,No,No,No,No
52,Yes,0,Month-to-month,No,No,No,No
77,Yes,0,Month-to-month,No,No,No,No
23,Yes,4,Month-to-month,Yes,Yes,No,Yes
80,Yes,0,Month-to-month,No,No,No,No
22,Yes,3,Month-to-month,Yes,Yes,No,Yes
49,Yes,0,Month-to-month,No,No,No,No
20,Yes,0,Month-to-month,No,No,No,No
54,Yes,0,Month-to-month,No,No,No,No
58,Yes,1,Month-to-month,Yes,Yes,No,Yes
21,Yes,3,Month-to-month,Yes,Yes,No,Yes
61,Yes,0,Month-to-month,No,No,No,No
60,Yes,3,Month-to-month,Yes,Yes,No,Yes
25,Yes,0,Month-to-month,No,No,No,No
52,Yes,0,Month-to-month,Yes,Yes,No,No
52,Yes,0,Month-to-month,No,No,No,No
61,Yes,0,Month-to-month,No,No,Yes,No
40,Yes,0,Month-to-month,Yes,No,No,No
28,Yes,3,Month-to-month,No,Yes,No,Yes
32,Yes,1,Month-to-month,Yes,Yes,No,Yes
32,Yes,0,Month-to-month,Yes,No,No,No
28,Yes,1,Month-to-month,No,Yes,No,Yes
51,Yes,0,One year,No,No,No,No
77,Yes,0,Month-to-month,No,No,No,No
49,Yes,0,Month-to-month,No,No,No,No
77,Yes,0,Month-to-month,No,No,No,No
49,Yes,4,Month-to-month,No,Yes,Yes,Yes
64,Yes,1,Month-to-month,Yes,Yes,Yes,Yes
72,Yes,4,Month-to-month,No,Yes,No,Yes
55,Yes,0,Month-to-month,No,No,Yes,No
80,Yes,2,Month-to-month,No,Yes,No,Yes
47,Yes,0,Month-to-month,No,No,No,No
22,Yes,2,Month-to-month,No,Yes,No,Yes
51,Yes,0,Month-to-month,No,No,No,No
33,Yes,0,Month-to-month,No,No,No,No
52,Yes,0,Month-to-month,No,No,Yes,No
29,Yes,5,Month-to-month,Yes,Yes,No,Yes
31,Yes,0,Month-to-month,No,No,No,No
44,Yes,0,Month-to-month,No,No,No,No
50,Yes,2,One year,No,Yes,No,Yes
48,Yes,1,Month-to-month,Yes,Yes,No,Yes
28,Yes,0,Month-to-month,No,No,No,No
74,Yes,0,Month-to-month,No,No,No,No
68,Yes,0,Month-to-month,No,No,No,No
52,Yes,0,Month-to-month,No,No,Yes,No
78,Yes,3,Month-to-month,No,Yes,No,Yes
32,Yes,1,Month-to-month,Yes,Yes,No,Yes
20,Yes,1,Month-to-month,Yes,Yes,Yes,Yes
27,Yes,0,Month-to-month,No,No,No,No
75,Yes,3,Month-to-month,No,Yes,No,Yes
77,Yes,1,Month-to-month,Yes,Yes,Yes,Yes
20,Yes,7,Month-to-month,Yes,Yes,No,Yes
80,Yes,0,One year,Yes,Yes,No,No
26,Yes,1,Month-to-month,No,Yes,No,Yes
57,Yes,3,Month-to-month,Yes,Yes,No,Yes
38,Yes,0,Month-to-month,No,No,No,No
75,Yes,7,Month-to-month,No,Yes,No,Yes
57,Yes,0,Month-to-month,No,No,No,No
69,Yes,0,Month-to-month,No,No,No,No
30,Yes,0,Month-to-month,No,No,No,No
23,Yes,0,Month-to-month,No,No,No,No
74,Yes,0,Month-to-month,No,No,No,No
